number;name;address;position;banking;bonus;status;Contract Name;Bike Stands;Available Bike Stands;Available Bikes;Last Update
50008;50008 - CER08 - AXE MAJEUR (CB);RUE DE L'ESPLANADE DE PARIS ANGLE BOULEVARD DE L'OISE - 95000 CERGY;49.044092, 2.036546;False;False;CLOSED;cergy-pontoise;17;17;0;2025-06-10T09:41:55+02:00
1191;SALON RNTP;;47.8722324, 1.9144639;False;False;OPEN;jcdecauxbike;2;2;0;2025-11-06T15:09:10+01:00
215;215 - CUREGHEM / KUREGEM;Av. Raymond Vander Bruggen / Raymond Vander Bruggenlaan 2;50.836864, 4.317321;False;False;OPEN;Bruxelles-Capitale;25;25;0;2025-09-24T12:29:51+02:00
5;005 - BOURSE / BEURS;BOURSE / BEURS - RUE PAUL DEVAUX/PAUL DEVAUXSTRAAT;50.848893, 4.349396;False;False;CLOSED;Bruxelles-Capitale;44;0;0;2025-05-05T17:33:04+02:00
15;015_CALLE DR MARAÑON;CALLE DR MARAÑON - Aprox. C/ San Juan de Ribera;37.407217, -5.985365;False;False;OPEN;seville;15;15;0;2025-10-08T11:32:14+02:00
232;232_AVENIDA ALCALDE LUIS URUÑUELA;AVENIDA ALCALDE LUIS URUÑUELA - Aprox. Pza de la Acogida;37.4039395587675, -5.93973903343879;False;False;OPEN;seville;15;10;5;2025-08-21T10:48:45+02:00
6114;6114-JULIEN BARTHELEMY;JULIEN BARTHELEMY - 9 RUE 3 FRERES BARTHELEMY;43.292604598053984, 5.384138435260716;True;False;OPEN;marseille;10;0;0;2022-11-08T07:39:42+01:00
2000;2000 - TEST DSI PLAISIR;;46.5488766782771, 15.6350265324683;False;False;OPEN;maribor;1;0;0;2022-06-02T11:44:38+02:00
7027;7027-PLACE DU 4 SEPTEMBRE;2 RUE CAPITAINE DESSEMOND;43.2884327278463, 5.3586207351308;True;False;OPEN;marseille;14;0;0;2022-09-26T09:25:27+02:00
33;33 - AUBERGE;Rue de Brunstatt angle Rue de l'Illberg;47.738321115207405, 7.317404625830476;False;False;CLOSED;mulhouse;12;12;0;2025-03-27T08:53:36+01:00
8065;8065-PROMENADE POMPIDOU PALM BEACH;PROMENADE POMPIDOU PALM BEACH - 6 PROMENADE GEORGES POMPIDOU;43.267272515671856, 5.372088524255505;True;False;OPEN;marseille;15;15;0;2022-06-08T08:20:13+02:00
9087;9087-MAZARGUES;MAZARGUES - ROND POINT DE MAZARGUES (OBELISQUE);43.250903869637334, 5.403244616491982;True;False;OPEN;marseille;21;0;0;2022-10-17T07:21:14+02:00
300;TEST VAL;Test Valencia;40.440654, 6.196131;True;False;OPEN;valence;1;0;1;2023-08-17T09:40:23+02:00
1264;1264 - CANEBIÈRE DUGOMMIER;CANEBIERE DUGOMMIER - LA CANEBIERE ANGLE BOULEVARD DUGOMMIER;43.29789631329341, 5.381132215559973;True;False;OPEN;marseille;10;0;0;2022-09-12T07:48:28+02:00
8147;8147 - MICHELET HUVEAUNE;MICHELET HUVEAUNE - ANGLE BOULEVARD MICHELET ET RUE JACQUES PICON;43.26796549967643, 5.393967016838425;True;False;OPEN;marseille;15;0;0;2022-10-17T10:15:10+02:00
2031;2031 - SCHUMANN LECA;32 Avenue Robert Schuman;43.301965, 5.366478;True;False;OPEN;marseille;15;0;0;2022-09-13T07:54:22+02:00
1191;1191-CANEBIERE-ST FERREOL;CANEBIERE SAINT FERREOL - ANGLE CANEBIERE SAINT FERREOL;43.29620767061392, 5.37693066220596;True;False;OPEN;marseille;20;2;0;2022-10-03T08:04:01+02:00
8313;8313- PARC PASTRE;PARC PASTRE - ANGLE AVENUE DE MONTREDON ET AVENUE D'OUTRE MER;43.23984252335505, 5.366506599649465;True;False;OPEN;marseille;10;0;0;2022-12-05T09:54:58+01:00
8;08 - PORTE HAUTE;Rue Gutenberg angle rue l'Arsenal;47.7469931994958, 7.33206326834505;False;False;OPEN;mulhouse;15;0;0;2025-02-17T11:12:28+01:00
5058;5058 -SAKAKINI - SAINT PIERRE;SAKAKINI SAINT PIERRE - BOULEVARD SAKAKINI ANGLE RUE SAINT PIERRE;43.292800863545835, 5.401285286456447;True;False;OPEN;marseille;10;10;0;2022-09-13T12:11:24+02:00
